alice	a	makerbench-hwe	tonykoop/makerbench-hwe	90	dual-league
bob	a	makerbench-hwe	tonykoop/makerbench-hwe	91	anti-gaming
cindy	a	makerbench-hwe	tonykoop/makerbench-hwe	98	hf-dashboard
dan	a	makerbench-hwe	tonykoop/makerbench-hwe	107	run-viewer
elsa	a	makerbench-hwe	tonykoop/makerbench-hwe	120	opportunity-matrix
frank	a	makerbench-hwe	tonykoop/makerbench-hwe	105	video-contract
gina	a	makerbench-hwe	tonykoop/makerbench-hwe	112	phys-verif-track
henry	a	makerbench-hwe	tonykoop/makerbench-hwe	121	site-upgrade
iris	a	makerbench-hwe	tonykoop/makerbench-hwe	106	hii-badges
alice	b	makerbench-hwe	tonykoop/makerbench-hwe	108	delta-dossier
bob	b	makerbench-hwe	tonykoop/makerbench-hwe	110	domains
cindy	b	makerbench-hwe	tonykoop/makerbench-hwe	96	moonshot
dan	b	makerbench-hwe	tonykoop/makerbench-hwe	97	acoustics-topo
elsa	b	StudioPipeline-hwe	StudioPipeline/hwe	3	manifest-mbc-emitter
frank	b	StudioPipeline-hwe	StudioPipeline/hwe	4	packet-exporter
gina	b	StudioPipeline-hwe	StudioPipeline/hwe	5	run-nav-submit
henry	b	HWE-Pipeline	tonykoop/HWE-Pipeline	2	beta-vendor-broker
iris	b	HWE-Pipeline	tonykoop/HWE-Pipeline	3	production-bom
